Reporte en HTML Tarea Programada #1 
Detalle de notas. 
Nombre,Apellidos,Género,Carné,Correo,Notas,Estado 
Bobbie,Hall Blakeslee,Femenino,2024054404,bhall4404@estudianteclvz.cr,2 32 4 13.3,Reprobado 
Phyllis,Roach Geppert,Masculino,2023043618,proach3618@estudianteclvz.cr,32 62 97 68.5,Reposición 
Charles,Hilchey Perry,Masculino,2023030297,chilchey0297@estudianteclvz.cr,63 99 27 61.2,Reposición 
Ryan,Kwan Mcmullen,Masculino,2024067398,rkwan7398@estudianteclvz.cr,64 37 86 63.3,Reposición 
Ashley,Westphalen Armor,Masculino,2023036432,awestphalen6432@estudianteclvz.cr,65 53 93 72.0,Aprobado 
Norma,Poli Beidleman,Masculino,2022020349,npoli0349@estudianteclvz.cr,91 91 12 59.4,Reprobado 
Gwen,Rodriguez Speis,Femenino,2023048090,grodriguez8090@estudianteclvz.cr,47 72 12 41.8,Reprobado 
Gabriel,Leggio Washington,Masculino,2023037720,gleggio7720@estudianteclvz.cr,11 89 40 49.9,Reprobado 
Judy,Mosteller Durso,Masculino,2024045107,jmosteller5107@estudianteclvz.cr,34 48 92 62.1,Reposición 
Michael,Mcfarland Garland,Femenino,2025015793,mmcfarland5793@estudianteclvz.cr,20 90 88 71.7,Aprobado 
Heather,Bates Peterson,Masculino,2021065614,hbates5614@estudianteclvz.cr,99 87 33 68.4,Reposición 
Scotty,Mccardle Ridley,Masculino,2021015033,smccardle5033@estudianteclvz.cr,42 10 58 37.2,Reprobado 
Valeria,Acosta Chaves,Masculino,2023051373,vacosta1373@estudianteclvz.cr,85 34 91 69.5,Reposición 
María,Mora Pérez,Masculino,2023047725,mmora7725@estudianteclvz.cr,90 98 84 90.4,Aprobado 
Luis,Solano Morales,Femenino,2024013946,lsolano3946@estudianteclvz.cr,8 60 88 58.2,Reprobado 
Paula,Mora Sánchez,Femenino,2020061140,pmora1140@estudianteclvz.cr,69 74 4 44.8,Reprobado 
Pedro,Solano Rojas,Masculino,2021049445,psolano9445@estudianteclvz.cr,81 68 75 74.0,Aprobado 
Luis,Pérez Navarro,Masculino,2025023574,lperez3574@estudianteclvz.cr,5 97 18 42.4,Reprobado 
Carlos,Morales Díaz,Femenino,2022056833,cmorales6833@estudianteclvz.cr,87 42 14 42.1,Reprobado 
José,Navarro Mora,Masculino,2022033342,jnavarro3342@estudianteclvz.cr,65 46 23 41.5,Reprobado 
Gabriela,Pérez Rojas,Masculino,2021012399,gperez2399@estudianteclvz.cr,60 49 16 38.5,Reprobado 
Jorge,Ramírez González,Masculino,2020042096,jramirez2096@estudianteclvz.cr,97 54 31 55.5,Reprobado 
José,Navarro Flores,Femenino,2025037040,jnavarro7040@estudianteclvz.cr,94 83 43 69.8,Reposición 
Elena,Ramírez Solano,Femenino,2023066475,eramirez6475@estudianteclvz.cr,38 78 50 56.8,Reprobado 
Elena,Gómez Sánchez,Masculino,2021054463,egomez4463@estudianteclvz.cr,93 88 87 88.8,Aprobado 
Manuel,Rivera Rodríguez,Femenino,2023065590,mrivera5590@estudianteclvz.cr,80 77 30 59.0,Reprobado 
Miguel,Gómez Ramírez,Femenino,2023016032,mgomez6032@estudianteclvz.cr,16 6 18 13.3,Reprobado 
Ana,Gómez González,Masculino,2021050798,agomez0798@estudianteclvz.cr,25 29 92 53.2,Reprobado 
Daniel,Morales Rivera,Masculino,2025047028,dmorales7028@estudianteclvz.cr,14 26 66 39.0,Reprobado 
Fernando,Solano Flores,Femenino,2020026646,fsolano6646@estudianteclvz.cr,96 19 17 37.5,Reprobado 
Daniel,Flores Pérez,Femenino,2020049826,dflores9826@estudianteclvz.cr,43 61 15 38.1,Reprobado 
José,Chaves Vargas,Femenino,2020034861,jchaves4861@estudianteclvz.cr,21 19 67 38.7,Reprobado 
Elena,Navarro Ramírez,Masculino,2025039383,enavarro9383@estudianteclvz.cr,57 37 48 46.4,Reprobado 
Pedro,Navarro Flores,Femenino,2020016738,pnavarro6738@estudianteclvz.cr,97 40 28 49.5,Reprobado 
Laura,Navarro Morales,Masculino,2023059734,lnavarro9734@estudianteclvz.cr,17 87 78 65.9,Reposición 
José,Chaves Díaz,Femenino,2025029393,jchaves9393@estudianteclvz.cr,24 66 68 56.3,Reprobado 
Jorge,Mora Sánchez,Masculino,2020022371,jmora2371@estudianteclvz.cr,8 42 49 36.3,Reprobado 
Ana,Pérez Rivera,Femenino,2022033363,aperez3363@estudianteclvz.cr,43 56 5 32.3,Reprobado 
Ana,Flores Solano,Masculino,2024061605,aflores1605@estudianteclvz.cr,5 72 42 43.2,Reprobado 
Laura,Castro Pérez,Femenino,2021026242,lcastro6242@estudianteclvz.cr,75 29 51 49.3,Reprobado 
María,Torres Ramírez,Femenino,2022042613,mtorres2613@estudianteclvz.cr,30 87 76 68.4,Reposición 
Ana,Navarro Ramírez,Masculino,2023040466,anavarro0466@estudianteclvz.cr,28 77 65 60.0,Reposición 
Sofía,Gómez Gómez,Femenino,2025054186,sgomez4186@estudianteclvz.cr,34 55 58 51.0,Reprobado 
Ana,Rivera Ramírez,Femenino,2024053895,arivera3895@estudianteclvz.cr,73 52 20 44.5,Reprobado 
Daniel,Pérez Castro,Femenino,2020054619,dperez4619@estudianteclvz.cr,59 54 74 63.2,Reposición 
Gabriela,Rodríguez Acosta,Femenino,2021015780,grodriguez5780@estudianteclvz.cr,88 100 69 84.6,Aprobado 
María,Rodríguez Chaves,Femenino,2021060715,mrodriguez0715@estudianteclvz.cr,6 56 42 37.9,Reprobado 
Camila,Rivera Chaves,Femenino,2024045538,crivera5538@estudianteclvz.cr,33 15 89 49.1,Reprobado 
Jorge,Castro Acosta,Femenino,2021063188,jcastro3188@estudianteclvz.cr,76 75 43 62.5,Reposición 
Sofía,Rojas Mora,Masculino,2021064131,srojas4131@estudianteclvz.cr,60 20 15 28.0,Reprobado 
Jorge,Morales Chaves,Masculino,2022031187,jmorales1187@estudianteclvz.cr,19 59 53 46.6,Reprobado 
Elena,Martínez Díaz,Femenino,2024036690,emartinez6690@estudianteclvz.cr,8 25 55 32.8,Reprobado 
Camila,Flores Díaz,Masculino,2023046394,cflores6394@estudianteclvz.cr,37 96 56 65.2,Reposición 
José,González Mora,Femenino,2022031346,jgonzalez1346@estudianteclvz.cr,17 63 71 54.7,Reprobado 
Manuel,Rojas Mora,Femenino,2022034872,mrojas4872@estudianteclvz.cr,89 52 70 68.5,Reposición 
Ana,Acosta Rodríguez,Femenino,2022036123,aacosta6123@estudianteclvz.cr,62 22 44 40.8,Reprobado 
Paula,Ramírez Díaz,Femenino,2020055857,pramirez5857@estudianteclvz.cr,93 37 50 56.2,Reprobado 
Miguel,Morales Ramírez,Masculino,2023023661,mmorales3661@estudianteclvz.cr,2 94 79 65.0,Reposición 
Paula,Flores Pérez,Femenino,2024010712,pflores0712@estudianteclvz.cr,36 11 3 14.1,Reprobado 
Lucía,Castro Ramírez,Masculino,2022051821,lcastro1821@estudianteclvz.cr,19 69 88 64.1,Reposición 
José,Martínez Solano,Femenino,2024040468,jmartinez0468@estudianteclvz.cr,30 55 4 28.4,Reprobado 
Luis,Vargas Chaves,Masculino,2020044376,lvargas4376@estudianteclvz.cr,56 24 46 40.8,Reprobado 
Gabriela,Martínez Ramírez,Masculino,2023024312,gmartinez4312@estudianteclvz.cr,47 12 78 47.2,Reprobado 
Ana,Sánchez Martínez,Masculino,2022043470,asanchez3470@estudianteclvz.cr,54 42 59 51.8,Reprobado 
José,Ramírez Acosta,Masculino,2021053441,jramirez3441@estudianteclvz.cr,15 21 81 43.5,Reprobado 
Luis,González González,Femenino,2024061912,lgonzalez1912@estudianteclvz.cr,1 100 55 57.2,Reprobado 
Fernando,González Navarro,Femenino,2024067702,fgonzalez7702@estudianteclvz.cr,48 52 34 43.8,Reprobado 
Daniel,Gómez Chaves,Femenino,2020033181,dgomez3181@estudianteclvz.cr,24 24 98 53.6,Reprobado 
Fernando,Flores Martínez,Masculino,2020017628,fflores7628@estudianteclvz.cr,21 96 29 50.4,Reprobado 
Elena,Rojas Torres,Femenino,2021057302,erojas7302@estudianteclvz.cr,37 6 13 16.6,Reprobado 
Lucía,Rojas Ramírez,Masculino,2024033022,lrojas3022@estudianteclvz.cr,90 52 23 49.9,Reprobado 
Elena,Torres Vargas,Femenino,2025040323,etorres0323@estudianteclvz.cr,37 4 31 23.1,Reprobado 
Valeria,Sánchez Morales,Femenino,2025047129,vsanchez7129@estudianteclvz.cr,35 7 11 15.6,Reprobado 
Valeria,Morales Díaz,Femenino,2020049266,vmorales9266@estudianteclvz.cr,83 90 86 86.7,Aprobado 
Daniel,Díaz Mora,Masculino,2021017062,ddiaz7062@estudianteclvz.cr,15 14 26 19.0,Reprobado 
Elena,Morales Díaz,Masculino,2023022835,emorales2835@estudianteclvz.cr,59 68 95 76.5,Aprobado 
Elena,Rodríguez Rivera,Masculino,2025026622,erodriguez6622@estudianteclvz.cr,41 63 43 49.5,Reprobado 
Carlos,Díaz Flores,Masculino,2025056978,cdiaz6978@estudianteclvz.cr,94 41 27 48.7,Reprobado 
Paula,Rojas Rodríguez,Femenino,2025061438,projas1438@estudianteclvz.cr,8 52 9 23.8,Reprobado 
Elena,Ramírez Navarro,Femenino,2021016050,eramirez6050@estudianteclvz.cr,43 30 99 60.9,Reposición 
Paula,Navarro Mora,Masculino,2024040320,pnavarro0320@estudianteclvz.cr,89 36 86 69.2,Reposición 
Pedro,Rivera Rivera,Masculino,2023052388,privera2388@estudianteclvz.cr,43 72 66 62.4,Reposición 
Carlos,Rojas Rojas,Masculino,2025064112,crojas4112@estudianteclvz.cr,16 3 1 5.5,Reprobado 
Pedro,Díaz Mora,Femenino,2025043268,pdiaz3268@estudianteclvz.cr,72 14 90 58.9,Reprobado 
Lucía,Chaves Castro,Femenino,2020045518,lchaves5518@estudianteclvz.cr,32 53 5 28.5,Reprobado 
Daniel,Díaz Vargas,Femenino,2025015477,ddiaz5477@estudianteclvz.cr,64 23 42 40.8,Reprobado 
Lucía,Solano Torres,Femenino,2024059701,lsolano9701@estudianteclvz.cr,50 70 58 60.2,Reposición 
Luis,Pérez Castro,Masculino,2022023915,lperez3915@estudianteclvz.cr,16 69 46 46.5,Reprobado 
Manuel,Castro Rodríguez,Masculino,2022067351,mcastro7351@estudianteclvz.cr,5 56 54 42.5,Reprobado 
Paula,Solano Ramírez,Masculino,2020046730,psolano6730@estudianteclvz.cr,60 25 86 58.1,Reprobado 
Andrés,Navarro Ramírez,Masculino,2022013752,anavarro3752@estudianteclvz.cr,26 89 5 39.6,Reprobado 
Sofía,Torres Solano,Femenino,2024066151,storres6151@estudianteclvz.cr,13 44 45 36.6,Reprobado 
Luis,Castro Díaz,Masculino,2023041957,lcastro1957@estudianteclvz.cr,1 96 42 50.6,Reprobado 
José,Torres Martínez,Femenino,2021067374,jtorres7374@estudianteclvz.cr,82 47 77 67.8,Reposición 
Manuel,Rivera Morales,Femenino,2025019149,mrivera9149@estudianteclvz.cr,91 69 75 76.9,Aprobado 
Lucía,Chaves Díaz,Femenino,2021056142,lchaves6142@estudianteclvz.cr,20 47 14 27.1,Reprobado 
Valeria,Rodríguez Torres,Femenino,2021010883,vrodriguez0883@estudianteclvz.cr,77 60 2 41.0,Reprobado 
Laura,Flores González,Masculino,2025030156,lflores0156@estudianteclvz.cr,55 47 97 69.0,Reposición 
Ana,Pérez Flores,Femenino,2022039285,aperez9285@estudianteclvz.cr,70 51 82 68.2,Reposición 
Carlos,Rojas Rodríguez,Femenino,2021065196,crojas5196@estudianteclvz.cr,42 26 36 34.0,Reprobado 
Valeria,Flores Rojas,Masculino,2023052996,vflores2996@estudianteclvz.cr,28 13 24 21.2,Reprobado 
Lucía,Navarro Gómez,Masculino,2024039959,lnavarro9959@estudianteclvz.cr,42 81 96 77.2,Aprobado 
María,González Martínez,Femenino,2022052513,mgonzalez2513@estudianteclvz.cr,75 21 79 57.7,Reprobado 
Daniel,Chaves Flores,Masculino,2024038609,dchaves8609@estudianteclvz.cr,59 6 50 36.9,Reprobado 
Valeria,Ramírez Solano,Masculino,2024057863,vramirez7863@estudianteclvz.cr,93 25 23 41.2,Reprobado 
Lucía,Morales Morales,Masculino,2020020182,lmorales0182@estudianteclvz.cr,57 61 64 61.2,Reposición 
Elena,Pérez Rojas,Femenino,2025022561,eperez2561@estudianteclvz.cr,19 77 73 60.9,Reposición 
Miguel,Morales Vargas,Masculino,2024043309,mmorales3309@estudianteclvz.cr,35 34 33 33.9,Reprobado 
Andrés,Sánchez Morales,Femenino,2025018628,asanchez8628@estudianteclvz.cr,64 30 48 45.7,Reprobado 
Manuel,Solano Rivera,Masculino,2023044980,msolano4980@estudianteclvz.cr,94 11 87 62.2,Reposición 
Luis,Solano Díaz,Masculino,2020035195,lsolano5195@estudianteclvz.cr,75 77 79 77.3,Aprobado 
Sofía,Sánchez Vargas,Masculino,2023020279,ssanchez0279@estudianteclvz.cr,10 70 22 35.8,Reprobado 
Daniel,Pérez Torres,Femenino,2023051895,dperez1895@estudianteclvz.cr,45 27 64 46.3,Reprobado 
Gabriela,Castro Díaz,Masculino,2023010821,gcastro0821@estudianteclvz.cr,11 86 46 51.2,Reprobado 
Elena,Sánchez Rivera,Femenino,2023041884,esanchez1884@estudianteclvz.cr,89 26 92 68.2,Reposición 
Lucía,Díaz Pérez,Masculino,2023047253,ldiaz7253@estudianteclvz.cr,12 56 4 24.2,Reprobado 
Manuel,Rodríguez Morales,Masculino,2021013572,mrodriguez3572@estudianteclvz.cr,62 25 87 59.1,Reprobado 
Ana,Castro Chaves,Masculino,2025052066,acastro2066@estudianteclvz.cr,45 30 46 40.2,Reprobado 
Andrés,Rodríguez Pérez,Femenino,2021040009,arodriguez0009@estudianteclvz.cr,97 38 80 69.5,Reposición 
Manuel,Rojas Rivera,Femenino,2023063378,mrojas3378@estudianteclvz.cr,29 90 35 52.8,Reprobado 
José,Sánchez Solano,Femenino,2023031172,jsanchez1172@estudianteclvz.cr,9 69 42 43.2,Reprobado 
Ana,Sánchez Morales,Femenino,2021062847,asanchez2847@estudianteclvz.cr,21 100 23 49.5,Reprobado 
Daniel,Navarro Rojas,Femenino,2022022966,dnavarro2966@estudianteclvz.cr,86 82 6 52.6,Reprobado 
Gabriela,Sánchez Díaz,Masculino,2024031908,gsanchez1908@estudianteclvz.cr,30 43 60 46.5,Reprobado 
Lucía,Vargas Ramírez,Femenino,2021034463,lvargas4463@estudianteclvz.cr,60 68 18 46.0,Reprobado 
Ana,Pérez Morales,Masculino,2024064701,aperez4701@estudianteclvz.cr,43 93 4 44.9,Reprobado 
Ana,Mora Sánchez,Masculino,2023021603,amora1603@estudianteclvz.cr,98 89 48 74.8,Aprobado 
José,Acosta Martínez,Femenino,2025031788,jacosta1788@estudianteclvz.cr,48 42 88 61.9,Reposición 
Paula,Navarro González,Masculino,2024055799,pnavarro5799@estudianteclvz.cr,85 61 8 45.8,Reprobado 
Carlos,Díaz Pérez,Masculino,2023028113,cdiaz8113@estudianteclvz.cr,72 49 5 37.1,Reprobado 
Elena,Solano Torres,Masculino,2020018524,esolano8524@estudianteclvz.cr,23 10 3 10.4,Reprobado 
María,Sánchez Flores,Femenino,2023023842,msanchez3842@estudianteclvz.cr,89 92 47 73.2,Aprobado 
Laura,Navarro Rojas,Masculino,2025028580,lnavarro8580@estudianteclvz.cr,22 74 20 39.4,Reprobado 
Miguel,Solano Navarro,Masculino,2022055396,msolano5396@estudianteclvz.cr,92 30 33 46.7,Reprobado 
Lucía,Martínez Morales,Masculino,2024040280,lmartinez0280@estudianteclvz.cr,31 57 43 44.9,Reprobado 
Ana,Ramírez Mora,Femenino,2023039135,aramirez9135@estudianteclvz.cr,77 32 26 40.9,Reprobado 
Paula,Rojas Flores,Femenino,2025021542,projas1542@estudianteclvz.cr,2 94 95 71.4,Aprobado 
Gabriela,Rodríguez Mora,Masculino,2023045852,grodriguez5852@estudianteclvz.cr,95 2 40 40.5,Reprobado 
Luis,Rodríguez Pérez,Femenino,2022067516,lrodriguez7516@estudianteclvz.cr,82 44 8 39.1,Reprobado 
Pedro,González Rivera,Femenino,2021041295,pgonzalez1295@estudianteclvz.cr,41 29 33 33.6,Reprobado 
Andrés,Morales Flores,Femenino,2022033282,amorales3282@estudianteclvz.cr,79 20 70 54.8,Reprobado 
Miguel,Morales González,Femenino,2021059314,mmorales9314@estudianteclvz.cr,46 83 19 48.1,Reprobado 
Pedro,Solano Ramírez,Masculino,2025057771,psolano7771@estudianteclvz.cr,57 78 47 60.3,Reposición 
José,Morales Torres,Masculino,2021069817,jmorales9817@estudianteclvz.cr,31 74 68 60.9,Reposición 
Carlos,Torres Ramírez,Masculino,2023034796,ctorres4796@estudianteclvz.cr,41 38 76 54.0,Reprobado 
Manuel,Solano Rodríguez,Masculino,2025036920,msolano6920@estudianteclvz.cr,49 91 67 70.9,Aprobado 
Manuel,Díaz Solano,Masculino,2024041948,mdiaz1948@estudianteclvz.cr,1 11 45 22.1,Reprobado 
Sofía,Torres Ramírez,Masculino,2021016144,storres6144@estudianteclvz.cr,49 68 31 48.4,Reprobado 
Elena,Gómez Díaz,Femenino,2022068071,egomez8071@estudianteclvz.cr,15 1 63 29.3,Reprobado 
Daniel,Mora Díaz,Femenino,2022017940,dmora7940@estudianteclvz.cr,5 84 7 33.4,Reprobado 
Gabriela,González Rojas,Femenino,2021021848,ggonzalez1848@estudianteclvz.cr,23 98 61 64.5,Reposición 
Sofía,Torres Solano,Femenino,2023050737,storres0737@estudianteclvz.cr,15 48 33 33.8,Reprobado 
Sofía,Mora Vargas,Femenino,2025030204,smora0204@estudianteclvz.cr,7 41 47 34.9,Reprobado 
Pedro,Navarro Acosta,Masculino,2022045299,pnavarro5299@estudianteclvz.cr,90 51 61 64.8,Reposición 
María,Castro Martínez,Femenino,2024026636,mcastro6636@estudianteclvz.cr,49 91 19 51.7,Reprobado 
Fernando,Chaves Solano,Masculino,2020016089,fchaves6089@estudianteclvz.cr,30 52 69 53.3,Reprobado 
Jorge,Díaz Pérez,Masculino,2022017633,jdiaz7633@estudianteclvz.cr,82 55 29 51.4,Reprobado 
Laura,Ramírez Torres,Masculino,2023012234,lramirez2234@estudianteclvz.cr,30 88 16 44.7,Reprobado 
María,Solano Gómez,Masculino,2022067194,msolano7194@estudianteclvz.cr,79 28 38 44.8,Reprobado 
Manuel,Pérez Mora,Femenino,2022058388,mperez8388@estudianteclvz.cr,67 81 53 66.3,Reposición 
Manuel,Rivera Navarro,Femenino,2020051337,mrivera1337@estudianteclvz.cr,43 44 84 59.8,Reprobado 
Sofía,Ramírez Chaves,Femenino,2021026964,sramirez6964@estudianteclvz.cr,63 49 82 65.7,Reposición 
Fernando,Vargas Ramírez,Masculino,2024012435,fvargas2435@estudianteclvz.cr,81 96 72 82.6,Aprobado 
Manuel,Rodríguez Mora,Femenino,2022021730,mrodriguez1730@estudianteclvz.cr,100 83 41 70.5,Aprobado 
Miguel,Acosta Navarro,Masculino,2020021671,macosta1671@estudianteclvz.cr,12 71 41 44.2,Reprobado 
Manuel,Navarro Morales,Masculino,2023012415,mnavarro2415@estudianteclvz.cr,80 31 29 42.5,Reprobado 
Jorge,Solano Solano,Femenino,2024060828,jsolano0828@estudianteclvz.cr,36 40 37 37.8,Reprobado 
Paula,Flores Mora,Masculino,2022018161,pflores8161@estudianteclvz.cr,90 2 55 45.2,Reprobado 
Paula,Ramírez Sánchez,Femenino,2024063225,pramirez3225@estudianteclvz.cr,72 69 98 81.3,Aprobado 
Paula,Flores Martínez,Masculino,2023039591,pflores9591@estudianteclvz.cr,41 82 64 64.6,Reposición 
Elena,Flores Vargas,Femenino,2023062109,eflores2109@estudianteclvz.cr,59 99 69 77.0,Aprobado 
Elena,Castro Sánchez,Femenino,2025018386,ecastro8386@estudianteclvz.cr,75 43 5 35.8,Reprobado 
Manuel,Rodríguez Flores,Masculino,2024024217,mrodriguez4217@estudianteclvz.cr,37 42 91 60.3,Reposición 
Lucía,Castro Díaz,Femenino,2025053734,lcastro3734@estudianteclvz.cr,36 5 63 36.0,Reprobado 
Valeria,González Torres,Femenino,2025014535,vgonzalez4535@estudianteclvz.cr,36 78 54 57.9,Reprobado 
Camila,Sánchez Martínez,Femenino,2024052003,csanchez2003@estudianteclvz.cr,63 36 79 60.0,Reposición 
Pedro,Rivera Martínez,Femenino,2021012034,privera2034@estudianteclvz.cr,91 42 31 49.9,Reprobado 
Jorge,Chaves Navarro,Femenino,2021023462,jchaves3462@estudianteclvz.cr,61 89 90 82.4,Aprobado 
Fernando,Solano Pérez,Masculino,2024044923,fsolano4923@estudianteclvz.cr,16 1 15 10.3,Reprobado 
Laura,Morales Morales,Femenino,2020052770,lmorales2770@estudianteclvz.cr,78 76 25 56.1,Reprobado 
Fernando,Navarro Vargas,Masculino,2022020544,fnavarro0544@estudianteclvz.cr,15 61 64 50.7,Reprobado 
Carlos,Solano Rodríguez,Masculino,2021017680,csolano7680@estudianteclvz.cr,3 77 67 54.5,Reprobado 
Luis,Gómez Vargas,Femenino,2020016906,lgomez6906@estudianteclvz.cr,16 76 12 35.4,Reprobado 
Manuel,Díaz Ramírez,Femenino,2024052279,mdiaz2279@estudianteclvz.cr,28 77 6 36.4,Reprobado 
José,Solano Rivera,Femenino,2022030943,jsolano0943@estudianteclvz.cr,66 14 64 47.0,Reprobado 
Daniel,González Mora,Femenino,2025010698,dgonzalez0698@estudianteclvz.cr,56 84 51 63.8,Reposición 
Ana,Navarro Castro,Masculino,2025047617,anavarro7617@estudianteclvz.cr,71 83 10 50.8,Reprobado 
Lucía,Rojas Torres,Masculino,2020028297,lrojas8297@estudianteclvz.cr,69 25 39 41.6,Reprobado 
Gabriela,Morales Mora,Femenino,2024030011,gmorales0011@estudianteclvz.cr,21 5 58 30.2,Reprobado 
Gabriela,Chaves Solano,Masculino,2022060521,gchaves0521@estudianteclvz.cr,65 92 69 76.0,Aprobado 
Laura,Mora Ramírez,Femenino,2023031559,lmora1559@estudianteclvz.cr,96 27 39 49.1,Reprobado 
Laura,Gómez Rodríguez,Femenino,2024055741,lgomez5741@estudianteclvz.cr,20 75 31 43.6,Reprobado 
María,Sánchez Rojas,Masculino,2025020606,msanchez0606@estudianteclvz.cr,34 69 23 41.9,Reprobado 
Sofía,Castro Castro,Masculino,2025059265,scastro9265@estudianteclvz.cr,100 12 63 54.4,Reprobado 
Valeria,Chaves Rodríguez,Masculino,2025053030,vchaves3030@estudianteclvz.cr,25 12 50 30.4,Reprobado 
Elena,Ramírez Ramírez,Femenino,2020037158,eramirez7158@estudianteclvz.cr,27 24 62 40.0,Reprobado 
Sofía,González Rivera,Masculino,2022029801,sgonzalez9801@estudianteclvz.cr,20 2 58 28.9,Reprobado 
